pair_index,a_file,b_file
69,sample241_9aeb4384,speech_0307_79498522
70,sample130_ed256ee8,sample241_9aeb4384
71,speech_0789_fc6b25d7,sample130_ed256ee8
72,sample220_5a48d9b6,speech_0789_fc6b25d7
73,sample220_5a48d9b6,sample066_f9dcce53
74,sample171_02b13e1c,sample066_f9dcce53
75,speech_0193_6457d3d0,sample171_02b13e1c
76,sample032_efba1c76,speech_0193_6457d3d0
77,sample008_056930c5,sample032_efba1c76
78,sample008_056930c5,sample089_101bfe11
79,sample230_47b01153,sample089_101bfe11
80,sample230_47b01153,speech_0488_ea36c31b
81,speech_0488_ea36c31b,sample087_61baefa8
82,sample142_1985425c,sample087_61baefa8
83,sample152_2c7a9e21,sample142_1985425c
84,sample152_2c7a9e21,sample219_9b7a084f
85,sample219_9b7a084f,sample101_fae0484f
86,speech_0389_e4494277,sample101_fae0484f
87,speech_0389_e4494277,sample111_4737c4d2
88,sample191_3361e30f,sample111_4737c4d2
89,sample056_f521058f,sample191_3361e30f
90,sample209_bed041d7,sample056_f521058f
91,sample209_bed041d7,sample027_cd0faf20
92,sample117_4997d25a,sample027_cd0faf20
93,sample117_4997d25a,speech_0966_122a179d
94,speech_0243_e451edf0,speech_0966_122a179d
95,speech_0334_e99d768e,speech_0243_e451edf0
96,speech_0334_e99d768e,sample023_41c39e41
97,sample023_41c39e41,speech_0843_101bfe11
98,speech_0843_101bfe11,speech_0882_671e5ef1
99,sample124_3f5d1a8c,speech_0882_671e5ef1
100,sample229_f92eb5b1,sample124_3f5d1a8c
101,sample176_db87a5a2,sample229_f92eb5b1
102,sample176_db87a5a2,speech_0025_82d2cad9
103,speech_0025_82d2cad9,speech_0650_ca368684
104,speech_0650_ca368684,sample128_3857eff1
105,sample128_3857eff1,speech_0943_f5a9d2bc
106,speech_0943_f5a9d2bc,speech_0123_41c39e41
107,speech_0320_06592579,speech_0123_41c39e41
108,sample080_20eca9e0,speech_0320_06592579
109,sample080_20eca9e0,speech_0749_20eca9e0
110,sample237_9472557e,speech_0749_20eca9e0
111,sample085_dd90578a,sample237_9472557e
112,sample035_2729e0e2,sample085_dd90578a
113,sample077_0b68117f,sample035_2729e0e2
114,sample077_0b68117f,speech_0752_44c869d5
115,sample060_c4420875,speech_0752_44c869d5
116,speech_0423_e847dff4,sample060_c4420875
117,sample139_6badff7b,speech_0423_e847dff4
118,sample139_6badff7b,sample167_a27abf78
119,sample167_a27abf78,speech_0927_0a02c41a
120,speech_0927_0a02c41a,sample217_6377ae91
121,sample217_6377ae91,speech_0228_c4c1f623
122,speech_0228_c4c1f623,sample236_f3d5c89f
123,sample236_f3d5c89f,sample041_06592579
124,sample041_06592579,sample156_fd7b9fa4
125,sample156_fd7b9fa4,sample185_0ea0912d
126,sample185_0ea0912d,sample116_e242d5ac
127,sample116_e242d5ac,sample136_390f0707
128,sample136_390f0707,sample038_e6b5ca93
129,sample038_e6b5ca93,sample140_9355c8d3
130,sample098_f5a9d2bc,sample140_9355c8d3
131,sample098_f5a9d2bc,sample150_0515f210
132,sample150_0515f210,sample078_5b8ec916
133,sample078_5b8ec916,sample129_f22c6f56
134,speech_0283_2729e0e2,sample129_f22c6f56
135,speech_0283_2729e0e2,speech_0573_f9dcce53
136,sample004_a72e2802,speech_0573_f9dcce53
137,sample004_a72e2802,sample043_e99d768e
138,sample043_e99d768e,speech_0411_cadff688
139,speech_0411_cadff688,sample188_0e995f08
140,sample188_0e995f08,sample063_768a6a1b
141,sample134_0b972e44,sample063_768a6a1b
142,sample086_fc6b25d7,sample134_0b972e44
143,sample086_fc6b25d7,speech_0041_a93d8cfa
144,sample039_d5a20d17,speech_0041_a93d8cfa
145,sample013_82d2cad9,sample039_d5a20d17
146,sample013_82d2cad9,sample051_cadff688
147,sample051_cadff688,sample211_a2b39b71
148,sample144_29c8262d,sample211_a2b39b71
149,sample119_a4f7dd43,sample144_29c8262d
150,sample119_a4f7dd43,sample231_a7ca1cbe
151,sample235_ea92f26e,sample231_a7ca1cbe
152,sample235_ea92f26e,speech_0652_a3f37a12
153,sample187_b0f03602,speech_0652_a3f37a12
154,speech_0304_c2d5e868,sample187_b0f03602
155,speech_0304_c2d5e868,sample151_0c634082
156,sample009_8fec8452,sample151_0c634082
157,sample118_96a1642f,sample009_8fec8452
158,speech_0780_f5ef4dc7,sample118_96a1642f
159,sample175_88993b09,speech_0780_f5ef4dc7
160,sample175_88993b09,speech_0757_1b5867e7
161,speech_0757_1b5867e7,speech_0848_e7880a98
162,speech_0848_e7880a98,sample088_4f85a4f9
163,sample076_2a6025df,sample088_4f85a4f9
164,sample076_2a6025df,sample164_6086e75c
165,sample195_26730d6d,sample164_6086e75c
166,sample195_26730d6d,sample212_4d3716b5
167,sample016_ac47e9d0,sample212_4d3716b5
168,speech_0065_c980f33d,sample016_ac47e9d0
169,sample248_79b27f7d,speech_0065_c980f33d
170,speech_0741_906be0f9,sample248_79b27f7d
171,sample107_a38717d4,speech_0741_906be0f9
172,sample107_a38717d4,sample138_f46547e5
173,sample138_f46547e5,sample181_a6621347
174,speech_0575_224b9d42,sample181_a6621347
175,speech_0575_224b9d42,sample208_160ca549
176,sample052_bcf1cb6d,sample208_160ca549
177,speech_0406_fae6bd3c,sample052_bcf1cb6d
178,speech_0406_fae6bd3c,sample193_a3aba001
179,speech_0502_c4420875,sample193_a3aba001
180,speech_0502_c4420875,sample048_e4494277
181,sample048_e4494277,sample006_fe39613e
182,sample190_762dfa42,sample006_fe39613e
183,sample190_762dfa42,sample009_36a064d0
184,sample246_e8541fc4,sample009_36a064d0
185,speech_0163_cd0faf20,sample246_e8541fc4
186,speech_0163_cd0faf20,sample022_dab4ef06
187,sample022_dab4ef06,sample099_122a179d
188,sample099_122a179d,sample029_6457d3d0
189,speech_0245_3c0550fc,sample029_6457d3d0
190,speech_0245_3c0550fc,speech_0890_6fbee84a
191,speech_0890_6fbee84a,speech_0630_1e1cdb9c
192,speech_0630_1e1cdb9c,sample205_29b101bc
193,sample205_29b101bc,speech_0542_768a6a1b
194,speech_0542_768a6a1b,sample007_6d0d70d7
195,sample007_6d0d70d7,sample017_e847dff4
196,sample017_e847dff4,sample173_2377df9e
197,sample173_2377df9e,speech_0310_d5a20d17
198,sample135_743c9b1f,speech_0310_d5a20d17
199,sample135_743c9b1f,speech_0205_9732143a
200,sample145_685d512c,speech_0205_9732143a
201,sample145_685d512c,sample010_86c5159a
202,speech_0975_7eeb677c,sample010_86c5159a
203,speech_0975_7eeb677c,sample177_0198da6e
204,speech_0681_0b68117f,sample177_0198da6e
205,speech_0039_ac17730c,speech_0681_0b68117f
206,speech_0039_ac17730c,sample024_50e90c97
207,sample014_ac17730c,sample024_50e90c97
208,sample014_ac17730c,sample207_2ca97251
209,sample207_2ca97251,sample108_d2b794a9
210,sample108_d2b794a9,sample223_e7455493
211,sample223_e7455493,sample042_70ed032c
212,sample232_cf98e3c8,sample042_70ed032c
213,speech_0144_76911851,sample232_cf98e3c8
214,speech_0144_76911851,sample055_fb292964
215,sample055_fb292964,speech_0021_1a3238c3
216,speech_0021_1a3238c3,sample227_23672cca
217,sample227_23672cca,sample068_f841a2c6
218,sample186_e5557310,sample068_f841a2c6
219,sample005_a84d1a77,sample186_e5557310
220,sample061_cdf92033,sample005_a84d1a77
221,speech_0788_dd90578a,sample061_cdf92033
222,speech_0788_dd90578a,sample215_cc025b5e
223,sample215_cc025b5e,sample084_c70d4e6b
224,sample084_c70d4e6b,speech_0628_ecd1d324
225,speech_0116_d21d4bb3,speech_0628_ecd1d324
226,speech_0460_fb292964,speech_0116_d21d4bb3
227,speech_0460_fb292964,sample028_28cee35c
228,sample028_28cee35c,sample155_0163e391
229,sample082_1b5867e7,sample155_0163e391
230,sample020_4a03fd2e,sample082_1b5867e7
231,sample020_4a03fd2e,sample090_e7880a98
232,sample202_3a6e070e,sample090_e7880a98
233,sample202_3a6e070e,sample178_f1334217
234,sample178_f1334217,sample163_35d6a180
235,sample163_35d6a180,speech_0784_c70d4e6b
236,sample125_1b5a54f4,speech_0784_c70d4e6b
237,sample114_fdb345bb,sample125_1b5a54f4
238,sample250_3e02512d,sample114_fdb345bb
239,speech_0175_28cee35c,sample250_3e02512d
240,sample106_56fd4274,speech_0175_28cee35c
241,sample210_ac1f93e1,sample106_56fd4274
242,sample210_ac1f93e1,sample149_46f6fc34
243,sample149_46f6fc34,sample172_7588bd44
244,speech_0657_0d740677,sample172_7588bd44
245,speech_0657_0d740677,speech_0539_daaf900c
246,sample216_ffa6ee05,speech_0539_daaf900c
247,sample059_ea36c31b,sample216_ffa6ee05
248,sample059_ea36c31b,speech_0898_039a7b60
249,speech_0898_039a7b60,speech_0121_dab4ef06
250,sample069_5cae6d79,speech_0121_dab4ef06
251,sample133_a07c1913,sample069_5cae6d79
252,sample179_5d46b53e,sample133_a07c1913
253,sample213_d8480af4,sample179_5d46b53e
254,sample213_d8480af4,sample199_40e217d7
255,sample199_40e217d7,speech_0338_e5a06143
256,sample018_c980f33d,speech_0338_e5a06143
257,sample075_4764b9a3,sample018_c980f33d
258,sample065_f352d7d0,sample075_4764b9a3
259,sample065_f352d7d0,sample044_e5a06143
260,sample034_3c0550fc,sample044_e5a06143
261,sample034_3c0550fc,sample242_bc639087
262,speech_0554_0b854809,sample242_bc639087
263,sample015_a93d8cfa,speech_0554_0b854809
264,sample094_6fbee84a,sample015_a93d8cfa
265,sample094_6fbee84a,sample095_039a7b60
266,sample095_039a7b60,sample093_1c1b1da8
267,sample093_1c1b1da8,sample147_b31be30b
268,sample122_e1166b1d,sample147_b31be30b
269,sample122_e1166b1d,sample161_04667130
270,speech_0990_50e90c97,sample161_04667130
271,speech_0990_50e90c97,speech_0363_14ac45b4
272,sample226_2d7ef8de,speech_0363_14ac45b4
273,sample226_2d7ef8de,sample146_36e0a56d
274,sample146_36e0a56d,speech_0621_5cae6d79
275,speech_0621_5cae6d79,speech_0474_f521058f
276,sample062_daaf900c,speech_0474_f521058f
277,sample148_b944223f,sample062_daaf900c
278,sample148_b944223f,sample153_285b89ed
279,sample054_ecc70f99,sample153_285b89ed
280,sample249_2bdfb1f1,sample054_ecc70f99
281,speech_0067_fb26ed47,sample249_2bdfb1f1
282,sample162_2cc0400c,speech_0067_fb26ed47
283,sample040_2bfbed5d,sample162_2cc0400c
284,sample045_14ac45b4,sample040_2bfbed5d
285,sample228_398bd9c3,sample045_14ac45b4
286,speech_0309_e6b5ca93,sample228_398bd9c3
287,speech_0309_e6b5ca93,sample071_1e1cdb9c
288,sample071_1e1cdb9c,sample121_76bcb529
289,sample112_44add070,sample121_76bcb529
290,speech_0407_4cbe8ba0,sample112_44add070
291,speech_0407_4cbe8ba0,sample096_11e92880
292,sample031_c4c1f623,sample096_11e92880
293,sample165_cdf5c82d,sample031_c4c1f623
294,sample123_fc41e8f2,sample165_cdf5c82d
295,sample123_fc41e8f2,sample169_2e4395a7
296,speech_0005_25be81fc,sample169_2e4395a7
297,sample001_3c29c5ba,speech_0005_25be81fc
298,sample203_3b23436c,sample001_3c29c5ba
299,sample203_3b23436c,sample046_3dda9f49
300,sample007_946106c1,sample046_3dda9f49
301,speech_0315_2bfbed5d,sample007_946106c1
302,sample030_9732143a,speech_0315_2bfbed5d
303,sample132_f2c32289,sample030_9732143a
304,sample132_f2c32289,speech_0158_cce061cf
305,speech_0158_cce061cf,sample225_ef9728ac
306,speech_0888_1c1b1da8,sample225_ef9728ac
307,speech_0888_1c1b1da8,speech_0332_70ed032c
308,speech_0332_70ed032c,sample103_540aea48
309,sample103_540aea48,sample160_ed88263c
310,sample221_0d7c78bd,sample160_ed88263c
311,sample180_e3d8d698,sample221_0d7c78bd
312,sample180_e3d8d698,sample050_4cbe8ba0
313,speech_0366_3dda9f49,sample050_4cbe8ba0
314,sample240_f834f12b,speech_0366_3dda9f49
315,sample168_22e2db9e,sample240_f834f12b
316,sample168_22e2db9e,sample036_c2d5e868
317,sample049_fae6bd3c,sample036_c2d5e868
318,sample157_b1148f69,sample049_fae6bd3c
319,sample157_b1148f69,sample074_0d740677
320,speech_0588_f841a2c6,sample074_0d740677
321,speech_0233_efba1c76,speech_0588_f841a2c6
322,sample127_7d7b8f84,speech_0233_efba1c76
323,sample127_7d7b8f84,speech_0664_2a6025df
324,speech_0664_2a6025df,sample047_2aff3b5d
325,speech_0812_4f85a4f9,sample047_2aff3b5d
326,sample143_caa0315c,speech_0812_4f85a4f9
327,sample143_caa0315c,sample070_ecd1d324
328,sample070_ecd1d324,speech_0060_b1cd40c7
329,speech_0060_b1cd40c7,sample110_8e91af50
330,speech_0484_30b13499,sample110_8e91af50
331,speech_0484_30b13499,sample182_fc65241d
332,sample243_1ced9527,sample182_fc65241d
333,sample243_1ced9527,sample154_f1fb8e99
334,sample154_f1fb8e99,sample206_cada7cf4
335,sample247_388ecf10,sample206_cada7cf4
336,sample247_388ecf10,speech_0098_4a03fd2e
337,sample131_26551668,speech_0098_4a03fd2e
338,sample131_26551668,sample019_fb26ed47
339,sample214_47d63bf9,sample019_fb26ed47
340,sample214_47d63bf9,sample196_3469b979
341,speech_0908_11e92880,sample196_3469b979
342,speech_0588_f841a2c6,sample130_ed256ee8
343,sample038_e6b5ca93,sample079_906be0f9
344,sample187_b0f03602,sample180_e3d8d698
345,sample066_f9dcce53,sample048_e4494277
346,speech_0741_906be0f9,sample051_cadff688
347,sample106_56fd4274,sample035_2729e0e2
348,sample063_768a6a1b,sample053_a2bad463
349,sample223_e7455493,sample087_61baefa8
350,sample218_2eaffa66,sample159_918aa5c3
351,sample150_0515f210,sample108_d2b794a9
352,speech_0898_039a7b60,sample026_cce061cf
353,sample002_4e908fd2,sample217_6377ae91
354,speech_0423_e847dff4,speech_0163_cd0faf20
355,sample040_2bfbed5d,sample129_f22c6f56
356,sample031_c4c1f623,sample244_f01a5078
357,sample025_76911851,sample075_4764b9a3
358,speech_0144_76911851,sample228_398bd9c3
359,speech_0848_e7880a98,speech_0304_c2d5e868
360,speech_0307_79498522,sample100_7eeb677c
361,sample246_e8541fc4,speech_0320_06592579
362,sample229_f92eb5b1,sample050_4cbe8ba0
363,speech_0908_11e92880,sample155_0163e391
364,sample141_8b2cf3b6,speech_0065_c980f33d
365,sample128_3857eff1,sample158_3554df76
366,speech_0556_f352d7d0,sample222_bfe748cb
367,sample247_388ecf10,sample105_f7a5e5bd
368,sample152_2c7a9e21,sample057_29b21bea
369,sample125_1b5a54f4,sample096_11e92880
370,sample101_fae0484f,sample081_44c869d5
371,speech_0193_6457d3d0,sample071_1e1cdb9c
372,sample013_82d2cad9,sample139_6badff7b
373,sample020_4a03fd2e,sample062_daaf900c
374,speech_0554_0b854809,sample027_cd0faf20
375,sample138_f46547e5,speech_0039_ac17730c
376,sample054_ecc70f99,sample058_30b13499
377,sample220_5a48d9b6,sample231_a7ca1cbe
378,sample133_a07c1913,speech_0502_c4420875
379,sample243_1ced9527,sample245_2638b53c
380,sample039_d5a20d17,sample162_2cc0400c
381,sample132_f2c32289,speech_0784_c70d4e6b
382,sample146_36e0a56d,sample153_285b89ed
383,sample216_ffa6ee05,sample116_e242d5ac
384,sample041_06592579,sample098_f5a9d2bc
385,sample082_1b5867e7,speech_0752_44c869d5
386,sample176_db87a5a2,sample065_f352d7d0
387,speech_0363_14ac45b4,sample161_04667130
388,sample137_f533bb44,sample249_2bdfb1f1
389,speech_0060_b1cd40c7,sample173_2377df9e
390,sample044_e5a06143,speech_0332_70ed032c
391,sample154_f1fb8e99,speech_0789_fc6b25d7
392,speech_0990_50e90c97,sample165_cdf5c82d
393,sample184_2c9ff4fe,sample023_41c39e41
394,sample015_a93d8cfa,sample030_9732143a
395,speech_0407_4cbe8ba0,speech_0628_ecd1d324
396,sample090_e7880a98,speech_0757_1b5867e7
397,sample083_f5ef4dc7,sample007_946106c1
398,sample126_ff7c90d7,sample215_cc025b5e
399,sample230_47b01153,sample148_b944223f
400,sample097_0a02c41a,sample203_3b23436c
401,sample149_46f6fc34,sample135_743c9b1f
402,sample197_9fb7ce5f,sample204_baf7f138
403,sample170_e547d744,sample022_dab4ef06
404,sample124_3f5d1a8c,sample032_efba1c76
405,sample136_390f0707,sample140_9355c8d3
406,sample112_44add070,sample206_cada7cf4
407,sample240_f834f12b,speech_0245_3c0550fc
408,speech_0315_2bfbed5d,speech_0233_efba1c76
409,sample010_86c5159a,sample195_26730d6d
410,sample094_6fbee84a,sample183_ca767767
411,speech_0283_2729e0e2,speech_0522_cdf92033
412,sample147_b31be30b,sample227_23672cca
413,sample037_79498522,sample084_c70d4e6b
414,speech_0788_dd90578a,sample224_1fc3e356
415,speech_0067_fb26ed47,sample017_e847dff4
416,sample077_0b68117f,speech_0573_f9dcce53
417,sample001_3c29c5ba,sample016_ac47e9d0
418,sample117_4997d25a,speech_0205_9732143a
419,speech_0243_e451edf0,sample115_2bd91ef1
420,sample111_4737c4d2,sample092_7e1324ef
421,speech_0542_768a6a1b,speech_0025_82d2cad9
422,sample171_02b13e1c,speech_0890_6fbee84a
423,speech_0158_cce061cf,sample102_436dc55f
424,speech_0943_f5a9d2bc,speech_0927_0a02c41a
425,sample188_0e995f08,speech_0658_4764b9a3
426,sample042_70ed032c,sample239_70abef06
427,speech_0488_ea36c31b,sample207_2ca97251
428,sample196_3469b979,sample167_a27abf78
429,sample091_671e5ef1,sample208_160ca549
430,sample120_df4b6c69,sample003_627b76ff
431,speech_0021_1a3238c3,sample078_5b8ec916
432,speech_0366_3dda9f49,sample076_2a6025df
433,sample131_26551668,sample085_dd90578a
434,speech_0843_101bfe11,sample007_6d0d70d7
435,sample134_0b972e44,sample019_fb26ed47
436,speech_0966_122a179d,sample226_2d7ef8de
437,sample072_ca368684,sample069_5cae6d79
438,speech_0406_fae6bd3c,sample110_8e91af50
439,sample209_bed041d7,sample232_cf98e3c8
440,sample210_ac1f93e1,sample089_101bfe11
441,sample121_76bcb529,sample014_ac17730c
442,speech_0310_d5a20d17,sample179_5d46b53e
443,sample080_20eca9e0,sample202_3a6e070e
444,speech_0411_cadff688,sample059_ea36c31b
445,sample201_5430f370,sample103_540aea48
446,sample067_224b9d42,speech_0575_224b9d42
447,sample163_35d6a180,sample004_a72e2802
448,speech_0175_28cee35c,sample036_c2d5e868
449,sample186_e5557310,speech_0630_1e1cdb9c
450,speech_0334_e99d768e,speech_0389_e4494277
451,speech_0098_4a03fd2e,sample046_3dda9f49
452,sample233_4e88157a,sample248_79b27f7d
453,sample181_a6621347,sample193_a3aba001
454,speech_0652_a3f37a12,speech_0888_1c1b1da8
455,sample169_2e4395a7,sample219_9b7a084f
456,sample198_ee0e18d2,sample086_fc6b25d7
457,sample205_29b101bc,sample043_e99d768e
458,sample052_bcf1cb6d,sample033_e451edf0
459,speech_0055_ac47e9d0,speech_0749_20eca9e0
460,sample151_0c634082,sample118_96a1642f
461,speech_0664_2a6025df,sample178_f1334217
462,sample068_f841a2c6,sample200_d8677912
463,speech_0718_5b8ec916,sample008_056930c5
464,speech_0123_41c39e41,sample189_b2eb371f
465,sample060_c4420875,speech_0621_5cae6d79
466,sample214_47d63bf9,speech_0005_25be81fc
467,sample160_ed88263c,sample088_4f85a4f9
468,sample168_22e2db9e,sample024_50e90c97
469,speech_0309_e6b5ca93,sample006_fe39613e
470,speech_0882_671e5ef1,sample123_fc41e8f2
471,speech_0460_fb292964,sample114_fdb345bb
472,speech_0228_c4c1f623,sample143_caa0315c
473,sample109_2f2d8c0a,sample236_f3d5c89f
474,speech_0975_7eeb677c,speech_0121_dab4ef06
475,sample194_328dbd2a,sample113_8ada680d
476,sample177_0198da6e,sample190_762dfa42
477,sample156_fd7b9fa4,sample093_1c1b1da8
478,sample174_728e16bc,speech_0657_0d740677
479,sample212_4d3716b5,sample034_3c0550fc
480,sample191_3361e30f,sample045_14ac45b4
481,speech_0796_61baefa8,sample241_9aeb4384
482,sample119_a4f7dd43,sample211_a2b39b71
483,sample225_ef9728ac,sample145_685d512c
484,sample061_cdf92033,speech_0384_2aff3b5d
485,sample235_ea92f26e,sample192_144a35f2
486,speech_0780_f5ef4dc7,sample234_553dcff0
487,speech_0431_a2bad463,sample237_9472557e
488,sample199_40e217d7,sample064_0b854809
489,sample172_7588bd44,speech_0474_f521058f
490,sample250_3e02512d,sample127_7d7b8f84
491,sample213_d8480af4,speech_0650_ca368684
492,speech_0116_d21d4bb3,sample182_fc65241d
493,sample157_b1148f69,sample055_fb292964
494,sample009_8fec8452,speech_0338_e5a06143
495,sample018_c980f33d,sample164_6086e75c
496,speech_0484_30b13499,sample009_36a064d0
497,sample122_e1166b1d,sample029_6457d3d0
498,sample056_f521058f,sample099_122a179d
499,sample070_ecd1d324,sample242_bc639087
500,speech_0885_7e1324ef,speech_0681_0b68117f
501,sample028_28cee35c,sample144_29c8262d
502,sample166_8454c459,speech_0041_a93d8cfa
503,sample238_fdf5ca49,sample005_a84d1a77
504,sample185_0ea0912d,sample049_fae6bd3c
505,sample221_0d7c78bd,speech_0812_4f85a4f9
506,sample021_d21d4bb3,sample011_25be81fc
507,sample175_88993b09,sample012_1a3238c3
508,sample074_0d740677,sample142_1985425c
509,sample047_2aff3b5d,sample107_a38717d4
510,sample073_a3f37a12,sample095_039a7b60
511,speech_0432_ecc70f99,speech_0480_29b21bea
512,sample104_e61bf93a,speech_0539_daaf900c
513,sample174_728e16bc,sample228_398bd9c3
514,sample007_946106c1,sample152_2c7a9e21
515,sample157_b1148f69,speech_0423_e847dff4
516,sample242_bc639087,sample029_6457d3d0
517,sample070_ecd1d324,sample233_4e88157a
518,sample026_cce061cf,speech_0389_e4494277
519,sample172_7588bd44,sample145_685d512c
520,sample102_436dc55f,sample190_762dfa42
521,sample095_039a7b60,sample183_ca767767
522,speech_0039_ac17730c,speech_0480_29b21bea
523,sample028_28cee35c,speech_0898_039a7b60
524,sample011_25be81fc,speech_0205_9732143a
525,speech_0193_6457d3d0,sample155_0163e391
526,sample169_2e4395a7,sample142_1985425c
527,speech_0658_4764b9a3,speech_0060_b1cd40c7
528,sample082_1b5867e7,sample042_70ed032c
529,sample024_50e90c97,sample107_a38717d4
530,sample013_82d2cad9,sample231_a7ca1cbe
531,sample085_dd90578a,speech_0304_c2d5e868
532,sample114_fdb345bb,sample007_6d0d70d7
533,sample094_6fbee84a,sample143_caa0315c
534,speech_0554_0b854809,sample073_a3f37a12
535,sample161_04667130,speech_0966_122a179d
536,sample223_e7455493,sample064_0b854809
537,sample097_0a02c41a,sample111_4737c4d2
538,sample237_9472557e,speech_0718_5b8ec916
539,sample197_9fb7ce5f,sample066_f9dcce53
540,sample147_b31be30b,sample216_ffa6ee05
541,speech_0927_0a02c41a,speech_0065_c980f33d
542,sample159_918aa5c3,sample165_cdf5c82d
543,sample168_22e2db9e,speech_0796_61baefa8
544,sample004_a72e2802,sample093_1c1b1da8
545,sample200_d8677912,speech_0460_fb292964
546,sample033_e451edf0,sample139_6badff7b
547,sample127_7d7b8f84,sample089_101bfe11
548,sample188_0e995f08,sample118_96a1642f
549,sample015_a93d8cfa,sample098_f5a9d2bc
550,speech_0975_7eeb677c,sample108_d2b794a9
551,speech_0474_f521058f,speech_0664_2a6025df
552,speech_0752_44c869d5,sample050_4cbe8ba0
553,sample104_e61bf93a,sample217_6377ae91
554,speech_0116_d21d4bb3,speech_0741_906be0f9
555,sample113_8ada680d,speech_0650_ca368684
556,speech_0406_fae6bd3c,sample201_5430f370
557,sample022_dab4ef06,sample059_ea36c31b
558,speech_0384_2aff3b5d,sample020_4a03fd2e
559,sample133_a07c1913,sample178_f1334217
560,sample009_8fec8452,speech_0784_c70d4e6b
561,speech_0315_2bfbed5d,sample207_2ca97251
562,sample138_f46547e5,sample149_46f6fc34
563,sample238_fdf5ca49,sample032_efba1c76
564,speech_0502_c4420875,sample120_df4b6c69
565,speech_0332_70ed032c,sample052_bcf1cb6d
566,sample156_fd7b9fa4,sample018_c980f33d
567,sample115_2bd91ef1,speech_0780_f5ef4dc7
568,sample019_fb26ed47,sample084_c70d4e6b
569,sample096_11e92880,sample235_ea92f26e
570,sample193_a3aba001,speech_0890_6fbee84a
571,sample117_4997d25a,sample030_9732143a
572,sample248_79b27f7d,sample105_f7a5e5bd
573,sample125_1b5a54f4,sample047_2aff3b5d
574,sample017_e847dff4,sample204_baf7f138
575,sample054_ecc70f99,sample036_c2d5e868
576,sample009_36a064d0,sample063_768a6a1b
577,sample121_76bcb529,speech_0573_f9dcce53
578,sample234_553dcff0,sample220_5a48d9b6
